Genre,NA_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Racing,15.68,82,73,8.3,709,E
Sports,15.61,80,73,8,192,E
Misc,15,61,45,6.3,106,E
Platform,14.44,87,80,8.4,594,E
Misc,13.96,58,41,6.6,129,E
Platform,11.28,89,65,8.5,431,E
Racing,9.71,91,64,8.6,464,E
Shooter,9.7,87,89,6.3,1454,M
Action,9.66,97,58,8.1,3711,M
Action,9.43,95,80,9,1588,M
Shooter,9.04,88,81,3.4,8713,M
Sports,9.01,80,33,7.4,52,E
Sports,8.92,80,63,7.7,146,E
Shooter,8.52,94,100,6.3,2698,M
Action,8.41,95,62,8.7,730,M
Shooter,8.25,83,73,4.8,2256,M
Shooter,7.97,94,86,7.8,4100,M
Shooter,7.04,91,99,7.9,2045,M
Action,7.02,97,50,8.2,3994,M
Action,6.99,97,56,8.5,664,M
Racing,6.85,95,54,8.4,314,E
Shooter,6.82,95,91,8.2,1218,M
Action,6.76,98,86,7.9,2951,M
Shooter,6.73,73,29,2.6,2117,M
Shooter,6.65,87,87,7,3260,M
Fighting,6.62,93,81,8.9,1662,T
Platform,6.06,97,73,8.9,2147,E
Shooter,5.99,88,58,6.4,1094,M
Misc,5.95,74,15,7.8,16,E10+
Shooter,5.93,94,70,8.4,1320,M
Misc,5.8,74,24,7.3,24,E10+
Shooter,5.54,88,39,3.2,5234,M
Role-Playing,5.05,96,89,8.4,3589,M
Racing,5.03,85,73,8.2,632,E
Shooter,4.99,83,21,5.3,922,M
Shooter,4.99,94,67,6.3,2073,M
Shooter,4.98,97,68,8.6,1283,M
Platform,4.89,90,82,8.4,921,E
Shooter,4.81,84,84,7.6,580,M
Action,4.76,98,64,7.5,2833,M
Misc,4.74,77,58,7.9,50,E
Shooter,4.46,84,57,7.4,2142,M
Fighting,4.41,92,38,9.1,568,T
Misc,4.4,72,27,7.8,85,E
Shooter,4.34,83,94,7.1,1163,M
Sports,4.18,91,30,7.9,78,E
Shooter,4.15,93,90,7.7,2739,M
Shooter,4.1,71,10,2.6,1047,M
Misc,4.05,74,10,7.3,28,E10+
Shooter,4.05,91,96,7.8,1504,M
Shooter,4.03,96,24,9.1,3161,M
Racing,4.02,96,16,8.7,138,E
Platform,4.01,92,61,8.6,439,E
Sports,3.98,88,29,8,121,E
Action,3.96,97,66,8.3,2899,M
Sports,3.92,73,51,7.4,95,E10+
Racing,3.88,93,23,9,135,T
Misc,3.81,92,69,8.5,112,T
Misc,3.74,62,41,6.3,190,E
Action,3.74,95,73,9,1658,T
Action,3.7,95,96,9,2316,M
Platform,3.68,91,12,8.9,432,E
Platform,3.66,78,70,7.2,424,E
Role-Playing,3.64,85,46,8.8,597,E
Sports,3.63,84,29,8.2,39,E
Role-Playing,3.59,80,88,6.5,604,M
Action,3.57,80,17,8.9,62,E10+
Platform,3.56,97,87,9.1,1854,E
Shooter,3.54,94,88,8.3,2295,M
Misc,3.49,82,24,8.2,46,T
Misc,3.48,49,21,8,110,E10+
Puzzle,3.43,77,37,7.1,19,E
Sports,3.42,92,18,9.2,69,T
Role-Playing,3.4,93,84,8.5,1655,M
Sports,3.36,95,25,7.7,65,E
Adventure,3.28,81,77,7.7,1074,M
Racing,3.27,85,33,8.6,171,E
Fighting,3.27,96,15,9.1,367,T
Action,3.27,96,105,8.8,5187,T
Shooter,3.22,81,53,5.4,898,M
Misc,3.19,85,69,7.9,165,T
Action,3.18,94,20,9.4,918,M
Platform,3.17,87,77,8.6,368,E
Racing,3.15,88,82,9.1,1599,E
Platform,3.14,84,19,7.8,41,E
Action,3.13,84,61,6.7,1196,M
Shooter,3.11,94,44,8.4,993,M
Action,3.11,87,22,8.1,78,T
Action,3.11,90,82,8.8,1305,M
Simulation,3.07,67,35,7.2,21,E
Shooter,3.05,68,34,7.1,47,T
Sports,3.05,98,19,7.7,299,T
Misc,3.04,86,36,8.4,87,T
Racing,3.01,89,74,8.5,272,E
Role-Playing,3.01,92,20,9.2,1282,T
Misc,3,79,10,7.3,6,E
Racing,2.99,92,90,8,516,E
Action,2.99,94,87,8.7,1472,T
Racing,2.96,84,82,7.5,1112,E
Shooter,2.93,88,29,8.5,135,T
Role-Playing,2.91,92,53,8.7,1056,T
Action,2.9,88,65,7.6,451,M
Shooter,2.85,85,38,7.5,1761,M
Action,2.85,89,81,8.3,693,M
Action,2.83,80,9,5.4,46,E
Role-Playing,2.82,94,90,8.7,1109,M
Shooter,2.81,83,39,5.7,1443,M
Action,2.81,97,14,7.9,764,M
Platform,2.8,95,85,6.8,5311,E
Action,2.79,95,73,8.8,2456,M
Shooter,2.78,84,101,6.4,2438,T
Action,2.77,92,97,8.3,3712,T
Role-Playing,2.76,83,46,8.5,203,E
Action,2.74,92,101,8.7,2633,M
Shooter,2.73,85,45,7.6,409,M
Racing,2.71,82,39,8.6,132,E
Action,2.71,96,42,8.6,2162,T
Action,2.71,76,25,7.9,41,E
Action,2.71,94,75,8.9,997,M
Shooter,2.67,89,76,8.6,681,M
Sports,2.66,97,34,7.5,298,T
Role-Playing,2.66,84,81,8.1,769,M
Shooter,2.66,89,67,7.9,1309,M
Action,2.64,85,41,6.9,1307,M
Misc,2.64,56,37,8.3,31,E10+
Action,2.63,94,82,8.7,3558,M
Racing,2.62,93,24,8.3,108,E
Shooter,2.61,82,74,7.5,563,M
Action,2.6,96,80,8.9,968,E
Sports,2.6,88,41,7.2,131,E
Role-Playing,2.57,76,28,9,222,E
Strategy,2.57,93,82,8.2,3052,T
Racing,2.57,88,20,9,233,E
Role-Playing,2.57,91,46,7.9,785,T
Role-Playing,2.55,92,16,6.4,2527,M
Action,2.54,91,70,8.6,1202,M
Role-Playing,2.53,87,58,6.5,4228,M
Shooter,2.53,82,42,7.9,82,M
Sports,2.53,81,36,5.8,179,E
Misc,2.52,77,61,7.9,471,E10+
Sports,2.52,85,58,6.1,90,E
Role-Playing,2.51,89,95,6.5,2423,M
Role-Playing,2.51,88,39,6.2,1749,M
Simulation,2.5,86,57,8.7,242,E
Sports,2.5,94,23,7.9,46,E
Shooter,2.49,76,95,6.1,5380,T
Sports,2.49,87,51,6.7,364,E10+
Action,2.45,96,42,8.7,1026,M
Platform,2.45,85,59,8.7,109,E10+
Role-Playing,2.44,88,86,4,9629,M
Sports,2.42,78,55,5.9,94,E
Action,2.41,95,98,9.1,8003,M
Action,2.4,77,60,7.5,66,E10+
Shooter,2.4,84,83,8.2,715,M
Action,2.38,78,34,8.5,161,E
Sports,2.38,84,47,5.7,120,E
Action,2.36,62,14,7.7,92,T
Racing,2.35,90,66,8.3,381,E
Sports,2.34,83,37,5.9,180,E
Action,2.32,93,70,8.9,709,M
Misc,2.32,86,18,7.6,71,T
Action,2.31,88,66,8.1,2306,T
Sports,2.31,90,42,7.7,134,E
Platform,2.3,84,70,8.1,733,E
Action,2.29,91,13,8.6,147,T
Sports,2.29,90,38,8.7,121,T
Role-Playing,2.29,82,68,7.5,120,T
Role-Playing,2.28,90,24,8.6,644,T
Shooter,2.28,96,81,9.1,8665,M
Action,2.27,72,59,4.1,1005,M
Fighting,2.26,89,8,8.9,102,T
Action,2.25,80,77,7.2,564,M
Action,2.24,91,70,8.9,1122,T
Shooter,2.22,87,42,9,93,M
Sports,2.21,83,50,7,125,E
Role-Playing,2.2,87,64,9,766,E10+
Action,2.2,92,78,8.7,1080,T
Sports,2.19,89,22,8.6,39,E
Shooter,2.18,84,30,9,268,T
Sports,2.18,85,46,6.4,108,E
Fighting,2.17,67,28,7.9,71,T
Role-Playing,2.15,90,57,8,910,M
Shooter,2.15,79,21,5.6,542,M
Misc,2.15,82,63,7.6,85,T
Sports,2.15,90,37,8.2,84,E
Shooter,2.14,75,11,5.5,1735,T
Sports,2.14,78,11,7.8,17,E
Sports,2.13,76,64,7.9,104,E10+
Sports,2.13,94,27,8.5,128,T
Misc,2.12,56,27,6,44,E
Platform,2.11,93,83,9,1607,E
Action,2.11,83,91,7.5,523,M
Sports,2.11,83,22,5.5,101,E
Shooter,2.1,88,75,8.6,869,M
Misc,2.1,71,70,8.8,29,E10+
Sports,2.1,87,23,4.9,150,E
Sports,2.09,81,27,8.7,39,E
Role-Playing,2.09,87,34,8.7,111,T
Racing,2.08,91,83,8.2,617,E
Platform,2.08,90,35,8.7,312,E
Action,2.08,96,38,8.9,1013,M
