Genre,NA_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
1,9.66,97,58,8.1,3711,4
1,9.43,95,80,9,1588,4
1,8.41,95,62,8.7,730,4
1,7.02,97,50,8.2,3994,4
1,6.99,97,56,8.5,664,4
1,6.76,98,86,7.9,2951,4
1,4.76,98,64,7.5,2833,4
1,3.96,97,66,8.3,2899,4
1,3.74,95,73,9,1658,3
1,3.7,95,96,9,2316,4
1,3.57,80,17,8.9,62,2
1,3.27,96,105,8.8,5187,3
1,3.18,94,20,9.4,918,4
1,3.13,84,61,6.7,1196,4
1,3.11,87,22,8.1,78,3
1,3.11,90,82,8.8,1305,4
1,2.99,94,87,8.7,1472,3
1,2.9,88,65,7.6,451,4
1,2.85,89,81,8.3,693,4
1,2.83,80,9,5.4,46,1
1,2.81,97,14,7.9,764,4
1,2.79,95,73,8.8,2456,4
1,2.77,92,97,8.3,3712,3
1,2.74,92,101,8.7,2633,4
1,2.71,96,42,8.6,2162,3
1,2.71,76,25,7.9,41,1
1,2.71,94,75,8.9,997,4
1,2.64,85,41,6.9,1307,4
1,2.63,94,82,8.7,3558,4
1,2.6,96,80,8.9,968,1
1,2.54,91,70,8.6,1202,4
1,2.45,96,42,8.7,1026,4
1,2.41,95,98,9.1,8003,4
1,2.4,77,60,7.5,66,2
1,2.38,78,34,8.5,161,1
1,2.36,62,14,7.7,92,3
1,2.32,93,70,8.9,709,4
1,2.31,88,66,8.1,2306,3
1,2.29,91,13,8.6,147,3
1,2.27,72,59,4.1,1005,4
1,2.25,80,77,7.2,564,4
1,2.24,91,70,8.9,1122,3
1,2.2,92,78,8.7,1080,3
1,2.11,83,91,7.5,523,4
1,2.08,96,38,8.9,1013,4
1,2.07,86,78,8.1,1264,3
1,2.05,91,8,9,266,4
1,2.04,76,49,7.9,75,2
1,2.03,93,81,8,1958,2
1,1.96,84,76,7.5,667,4
1,1.94,82,32,8.2,78,3
1,1.94,81,75,8.1,307,4
1,1.91,75,42,7.4,32,2
1,1.9,86,35,7.9,701,4
1,1.89,77,39,8,94,4
1,1.88,89,13,9.2,364,4
1,1.87,90,59,8.2,791,4
1,1.85,90,57,8,416,1
1,1.85,93,46,8.5,121,3
1,1.85,84,32,9,41,2
1,1.84,89,50,8.1,100,1
1,1.8,86,74,8.4,458,1
1,1.78,62,30,8.1,137,3
1,1.76,85,98,8.3,1172,3
1,1.75,80,50,8.9,106,3
1,1.75,72,16,8,16,2
1,1.75,95,30,9.1,314,1
1,1.74,73,74,6.7,389,3
1,1.7,86,50,8,150,4
1,1.7,87,19,9,107,1
1,1.7,91,50,8.7,529,4
1,1.56,78,49,7.8,112,4
1,1.53,87,89,7.6,2679,4
1,1.53,80,24,7.4,114,2
1,1.5,85,31,8.7,105,3
1,1.48,91,79,8.6,565,4
1,1.48,78,8,7,20,2
1,1.48,71,75,6.9,627,4
1,1.47,60,34,7.2,82,3
1,1.46,91,68,9.3,955,4
1,1.41,80,39,7.5,613,4
1,1.41,89,46,7.6,105,1
1,1.4,80,80,6.3,2996,4
1,1.4,87,75,7.8,228,2
1,1.4,91,81,8.9,1057,1
1,1.4,80,15,7.9,16,1
1,1.37,64,11,7.5,41,1
1,1.36,94,37,8.5,466,4
1,1.36,85,19,7.8,78,4
1,1.35,81,11,5.6,31,2
1,1.33,88,36,8.1,840,4
1,1.32,80,4,4.5,8,1
1,1.28,80,90,7.9,2944,3
1,1.28,79,13,8,34,2
1,1.26,73,19,7.8,26,1
1,1.26,60,6,6.7,7,1
1,1.25,84,70,7.6,490,4
1,1.24,80,37,7.6,127,2
1,1.23,72,49,6.8,88,4
1,1.23,80,89,7.5,914,4
1,1.21,76,11,7.9,14,1
1,1.21,56,24,6.7,18,3
1,1.19,70,40,4.9,2050,4
1,1.18,92,44,9.1,200,1
1,1.17,81,74,7.5,211,4
1,1.16,85,82,7.6,520,4
1,1.15,89,24,7.7,102,3
1,1.15,89,82,9,478,2
1,1.15,74,46,7.5,685,3
1,1.15,96,16,9.2,568,3
1,1.13,70,15,8,67,3
1,1.11,71,18,7.9,75,3
1,1.09,90,48,6.1,403,1
1,1.09,93,86,8.2,3943,4
1,1.08,84,21,8.4,189,4
1,1.08,71,41,6.6,405,4
1,1.07,83,29,7.8,1530,4
1,1.07,76,46,7.7,668,3
1,1.07,72,7,7.2,6,2
1,1.07,79,29,7.5,11,1
1,1.06,88,37,6.6,348,1
1,1.06,88,56,7.9,815,4
1,1.06,78,69,6.8,908,4
